,movie,percentage
0,Vantage Point_0443274_anno.txt,0.339465
1,Hellbound Hellraiser II_0095294_anno.txt,0.557923
2,Prometheus_1446714_anno.txt,0.546929
3,Joy_2446980_anno.txt,0.547987
4,One Chance_1196956_anno.txt,0.679539
5,The Bodyguard_0103855_anno.txt,0.576376
6,Prince of Persia The Sands of Time_0473075_anno.txt,0.709677
7,Broken Arrow_0115759_anno.txt,0.587556
8,Take Shelter_1675192_anno.txt,0.680295
9,Life Itself_5989218_anno.txt,0.457246
10,Entrapment_0629253_anno.txt,0.91282
11,Bareilly Ki Barfi_6967980_anno.txt,0.582875
12,Scream 2_0120082_anno.txt,0.348902
13,Grand Hotel_0022958_anno.txt,0.477097
14,Daredevil_0287978_anno.txt,0.487196
15,Stigmata_0145531_anno.txt,0.646348
16,JFK_0102138_anno.txt,0.475549
17,Batman_0096895_anno.txt,0.485096
18,Sleuth_0857265_anno.txt,0.933717
19,Arrival_2543164_anno.txt,0.686775
20,If Beale Street Could Talk_7125860_anno.txt,0.533586
21,Rise of the Guardians_1446192_anno.txt,0.489787
22,The Conjuring_1457767_anno.txt,0.553229
23,8MM_0134273_anno.txt,0.659123
24,Four Weddings and a Funeral_0109831_anno.txt,0.512285
25,Ready to Wear_0110907_anno.txt,0.209367
26,I Love You Phillip Morris_1045772_anno.txt,0.702505
27,Lady Bird_4925292_anno.txt,0.638307
28,Frequency_0186151_anno.txt,0.688923
29,Urban Legend_0146336_anno.txt,0.449229
30,Identity_0309698_anno.txt,0.419553
31,Pitch Perfect 2_2848292_anno.txt,0.389984
32,Nebraska_1804272_anno.txt,0.632844
33,Chill Factor_0163579_anno.txt,0.699352
34,The Scarlet Letter_0114345_anno.txt,0.287256
35,The Departed_0407887_anno.txt,0.544875
36,Four Lions_1341167_anno.txt,0.666725
37,Mississippi Grind_2349144_anno.txt,0.801046
38,Cool Runnings_0106611_anno.txt,0.586259
39,The Croods_0481499_anno.txt,0.665937
40,Super Mario Bros_0108255_anno.txt,0.493387
41,A Hard Day s Night_0058182_anno.txt,0.467864
42,One Good Turn_0021214_anno.txt,0.661442
43,I Know What You Did Last Summer_0119345_anno.txt,0.566834
44,Oldboy_0364569_anno.txt,0.656146
45,Buffy the Vampire Slayer_0118276_anno.txt,0.518866
46,Coal Miner s Daughter_0080549_anno.txt,0.724697
47,Harry Potter and the Deathly Hallows Part 1_0926084_anno.txt,0.573577
48,Under the Silver Lake_5691670_anno.txt,0.474977
49,A Single Man_1315981_anno.txt,0.768022
50,Raging Bull_0081398_anno.txt,0.801723
51,Heavy Metal_0082509_anno.txt,0.328275
52,Panther_0114084_anno.txt,0.405583
53,The Big Blue_0095250_anno.txt,0.716853
54,Don t Look Now_0069995_anno.txt,0.262329
55,Second Act_2126357_anno.txt,0.550075
56,Iron Man_0371746_anno.txt,0.573975
57,The Wedding Singer_0120888_anno.txt,0.580457
58,Jack Goes Boating_1278379_anno.txt,0.726421
59,She s Out of My League_0815236_anno.txt,0.626599
60,Booksmart_1489887_anno.txt,0.661255
61,Spider Man 2_0316654_anno.txt,0.588988
62,Resident Evil Extinction_0432021_anno.txt,0.479378
63,Hardware_0099740_anno.txt,0.612671
64,1917_8579674_anno.txt,0.654821
65,Atonement_0783233_anno.txt,0.471713
66,Norman_4191702_anno.txt,0.531936
67,The Time Traveler s Wife_0452694_anno.txt,0.764985
68,Beavis and Butt Head Do America_0115641_anno.txt,0.509431
69,Affliction_0118564_anno.txt,0.617912
70,The Guard_1540133_anno.txt,0.637691
71,License to Drive_0095519_anno.txt,0.622951
72,Awakenings_0099077_anno.txt,0.431781
73,Harold Kumar Go to White Castle_0366551_anno.txt,0.714082
74,Vacancy_0452702_anno.txt,0.804161
75,Cougar Town_1441109_anno.txt,0.404113
76,Velvet Buzzsaw_7043012_anno.txt,0.464053
77,The Horse Whisperer_0119314_anno.txt,0.670829
78,Hostage_0340163_anno.txt,0.513964
79,The Adventures of Buckaroo Banzai Across the 8th Dimension_0086856_anno.txt,0.408322
80,The Ruins_0963794_anno.txt,0.769534
81,Something Wicked This Way Comes_0086336_anno.txt,0.552513
82,Man on the Moon_0125664_anno.txt,0.627143
83,Made in Dagenham_1371155_anno.txt,0.473942
84,About Schmidt_0257360_anno.txt,0.625108
85,My Own Private Idaho_0102494_anno.txt,0.538622
86,Brazil_0088846_anno.txt,0.472321
87,The X Files Fight the Future Blooper Reel_7083566_anno.txt,0.67059
88,Crimson Peak_2554274_anno.txt,0.718486
89,Safety Not Guaranteed_1862079_anno.txt,0.75456
90,The Fly_0091064_anno.txt,0.910673
91,Den of Thieves_1259528_anno.txt,0.521268
92,True Romance_0108399_anno.txt,0.572553
93,Coming Home_0077362_anno.txt,0.467546
94,Crazy Rich Asians_3104988_anno.txt,0.456132
95,Two and a Half Men_0369179_anno.txt,0.667875
96,Life as a House_0264796_anno.txt,0.629531
97,The Sixth Sense_0167404_anno.txt,0.715273
98,The Apartment_0053604_anno.txt,0.792521
99,War Horse_1568911_anno.txt,0.275718
100,The Bonfire of the Vanities_0099165_anno.txt,0.394583
101,This Is 40_1758830_anno.txt,0.668352
