imdbid,number of locations
1179933,16
147800,46
118528,7
114746,116
2024544,43
1542344,63
2991516,20
450385,49
103594,99
179626,47
450232,90
974661,28
8579674,48
1190080,108
4385888,119
315733,115
1232829,77
7280898,74
307901,51
289043,76
191754,90
463854,42
381849,55
40064,138
1187043,76
389722,45
496424,25
416449,36
453562,79
1335975,42
83511,20
1022603,75
134273,123
80319,43
2891174,47
268978,77
44008,42
85334,41
66921,37
1571222,38
97243,93
5639354,45
95159,95
401445,93
113198,35
58182,3
399146,44
829459,82
3416532,26
120770,71
93629,59
12734734,100
95742,78
97981,39
87800,72
971209,53
107808,75
4080956,71
6644200,24
1832382,62
7040874,51
120324,68
1315981,22
75265,59
2667918,42
257360,101
2194499,75
94602,118
118548,97
109040,80
2935510,81
118564,39
1815862,85
838247,27
371514,43
7985692,100
88683,49
118571,102
83530,70
80339,41
375173,64
1014759,65
2316204,22
94631,78
248667,125
881891,70
847214,44
9206798,64
78754,54
41113,73
5294550,91
181875,123
369226,59
80360,89
86879,87
1129445,79
6212478,111
169547,32
1169133,93
765429,127
120586,86
1844624,33
1800241,92
2254364,89
244000,70
144084,40
101327,66
305206,59
3316948,32
1602620,10
40072,15
2663812,26
50105,60
82010,41
118604,43
1174732,56
84434,92
118615,62
289848,76
122933,78
118617,42
52561,52
1003594,51
225071,66
29870,56
3612008,18
1313092,61
3322940,25
75686,58
2401878,24
1521197,42
218817,118
146838,52
43291,30
78788,44
90655,67
118636,7
1764183,69
106303,43
422774,23
1024648,111
120591,77
106308,59
2543164,54
1334512,57
2870612,52
119822,49
6205872,74
112401,59
132512,85
1603257,14
783233,89
118655,77
145660,64
2114461,28
174480,89
499549,60
4154796,82
99077,63
211933,20
449467,64
3890160,55
96874,104
88763,29
101393,73
1502397,52
2350892,145
47849,40
94701,67
103759,6
115610,39
1284575,34
6628394,32
2170299,38
787470,59
215545,65
303714,36
6967980,115
302297,45
1423894,73
72684,106
101410,0
103772,74
115632,54
372784,153
112462,128
106364,86
103776,112
118688,83
2975590,90
1672723,97
96895,105
69768,9
4622512,72
185183,121
407362,4
94715,105
118689,51
1365050,82
115639,47
2771200,36
115641,88
38343,31
94721,61
115645,61
2209418,17
112471,25
381681,14
1532503,106
106379,64
120601,93
78841,56
120603,86
65462,47
402057,40
86960,71
1126590,67
319061,134
1086064,45
101452,38
96928,46
2737304,50
2562232,21
454082,47
265086,114
1825683,78
96933,76
947798,45
7349662,65
83658,76
359013,56
120611,53
124298,105
71230,45
2531344,44
743446,71
1634106,93
711844,44
2359024,104
90756,78
86984,58
82089,108
758774,130
1587669,39
106452,37
181984,54
61418,70
118749,81
1489887,49
96969,39
115734,40
115736,28
7008872,81
1781782,27
1065073,85
101507,73
5884230,66
103874,3
5943392,70
112573,92
88846,148
401997,34
118771,73
54698,79
903747,24
5716464,53
393109,70
1478338,73
3682448,3
1473832,93
101510,52
810784,78
7752126,26
5519340,21
163988,44
29947,83
92699,92
115759,70
315327,64
118276,67
94812,94
1462758,2
1126591,51
887883,80
307879,58
64115,29
1349451,48
68327,59
1010382,40
80487,75
257298,60
5726616,55
40202,34
2234003,59
4595882,57
2387411,47
103919,69
55824,112
8267604,5
1535109,32
74281,78
2402927,67
74285,48
1216475,60
34583,23
381061,128
112641,167
162222,79
34587,46
327554,49
1477837,59
1405365,71
337921,88
115857,104
824747,70
2076822,74
402910,81
759572,39
6866356,13
56923,82
160127,114
472062,58
118842,23
221069,9
175526,100
9130508,21
206634,86
87050,53
163579,31
71315,59
241303,69
1706593,33
95765,8
33467,57
1174730,101
103976,101
800320,82
389860,56
106582,59
87065,89
75860,90
1371111,124
844471,54
1060277,38
88930,37
80549,123
109450,87
2380307,55
88936,92
159365,82
5437928,95
699285,119
369339,95
1657507,97
77362,101
407680,98
118880,97
816462,56
3322364,66
270288,124
68408,46
118883,93
360486,89
1598778,116
61512,66
106611,112
118887,52
112722,78
327597,49
1441109,115
115956,51
409847,72
306685,56
479884,66
115964,43
8364368,25
1263670,49
3104988,55
1570728,61
416658,48
6343314,80
3076658,98
310924,92
2554274,71
74695,23
2652118,64
139134,26
111931,143
6002232,54
790636,40
77394,101
1667307,49
5074352,75
287978,49
1234927,38
4555426,72
1279935,61
8531222,89
88993,85
77405,120
99371,128
106677,5
97165,48
455760,63
1431045,54
1321509,41
1241317,85
1028528,23
804461,65
266452,65
120647,38
97179,59
453467,67
68473,77
106697,39
1259528,74
4645330,69
165710,54
112857,64
1196141,58
112864,105
95016,82
83833,54
1107319,60
109635,8
6108178,49
134619,73
5606664,56
120655,42
69995,42
246578,66
36775,31
4558376,39
1389072,150
1606375,50
22835,76
3710404,0
116136,45
1502404,25
780504,59
97239,70
97240,137
67023,15
329028,82
109686,62
87182,89
5013056,37
83866,95
1059786,104
765443,19
109707,114
1631867,55
131369,85
271367,58
7014006,43
458522,91
319343,67
5881892,14
414055,67
368709,109
5294518,31
1535108,81
92965,58
338963,27
146675,56
1855199,30
120660,145
2390361,56
278435,77
629253,66
238380,89
3958780,62
97289,0
195685,94
116225,85
82340,49
338013,64
119081,18
92991,46
83908,107
82348,77
116253,93
1225822,26
2481498,74
2057392,64
119094,91
360556,61
977855,123
112913,53
120667,65
1502712,65
432283,35
297884,75
2802850,13
83929,90
93010,99
106873,72
120669,65
362636,23
2671706,38
91042,157
137523,118
5662022,24
6513120,58
5711148,55
104265,72
309593,57
195714,59
243907,60
83944,72
6053438,50
4882376,52
65724,47
240507,7
80745,71
85549,71
1907668,57
817177,71
2381941,79
1405500,32
800039,74
109830,107
5353,144
1341167,71
113101,20
109831,52
488120,49
264616,45
2347569,75
83967,92
458481,66
1142977,48
8019694,22
109838,32
4158096,67
186151,54
83972,38
91080,29
97388,85
758746,60
113118,61
101921,79
1632708,63
89175,46
116367,25
870111,69
212277,33
978759,52
2334649,54
113131,26
76059,51
2713180,24
119173,74
177789,72
425055,40
2704998,40
944947,23
1034032,71
83987,1
118900,64
217505,78
1954470,111
119177,56
67128,67
1226229,59
2473602,113
5052448,52
430308,88
259324,52
288477,11
162346,55
99653,53
49261,60
335119,62
3564472,63
172495,41
120684,33
120685,154
113189,39
58150,75
1800302,71
452623,87
2267998,134
187078,80
31381,89
452625,57
433383,30
1920945,59
119217,55
99685,110
280707,54
348836,80
139239,113
1525366,51
22958,1
7671068,1
338075,47
119223,71
6966692,51
1514045,50
1133985,104
4062536,31
99700,110
87363,47
119229,66
107048,75
3896198,91
113243,66
2119532,82
475290,48
382561,19
85636,93
82495,0
220506,59
1502407,47
448157,52
91167,32
993842,98
147612,76
5308322,47
424136,36
119256,57
99739,102
657508,48
99740,20
97481,56
67185,86
366551,129
4648786,71
295297,63
926084,85
330373,65
417741,67
373889,60
304141,60
241527,75
42546,34
1001508,56
97493,69
113277,152
110005,53
82509,7
2582782,43
95294,60
411477,94
167190,106
116514,63
337636,36
104409,29
122529,53
7942742,4
7784604,53
104412,97
1798709,45
1403177,27
4846340,65
97503,62
44706,46
110027,63
91203,115
32599,56
975645,44
465494,139
107120,61
5057140,90
164052,59
533545,59
104431,127
99785,73
226771,50
8151874,35
97523,42
829193,36
102057,36
93209,40
2170439,60
1499658,51
340163,98
425112,82
2510894,45
251736,38
185371,40
1341188,84
455538,69
1646971,23
892769,21
219822,66
410097,24
5503686,67
1477855,47
1464540,74
5710514,73
1220628,68
119345,94
110097,73
3236120,27
1155056,37
1045772,112
343818,76
1490785,63
3640682,73
1242432,21
130018,74
770772,84
5580036,78
36027,58
309698,54
387808,59
138510,56
7125860,36
210742,13
385267,94
247425,68
61811,72
1226774,68
478134,45
116629,148
367882,73
97576,89
87469,165
420609,67
1969062,65
361748,38
5962210,47
1791528,75
93260,131
2042568,1
454848,50
2096673,57
2226417,42
278504,71
816692,119
110148,89
758758,156
2180411,19
138524,35
91276,75
119381,55
1057500,75
371746,65
93278,16
37820,47
3235888,76
38650,98
1230414,56
804497,62
1396484,86
1616195,96
1278379,85
119396,49
1619029,37
99871,65
113451,69
1229822,9
418763,58
107254,20
77766,35
85750,43
93300,13
73195,49
261392,61
263488,23
343861,83
104549,83
1131734,47
116695,110
785015,121
102138,1
425151,16
99892,0
401729,131
251160,41
455967,47
2911666,49
113481,44
2584384,20
7286456,70
298388,1
2446980,73
76245,109
4326444,20
113497,57
467406,26
163025,74
369610,73
4916630,76
272152,71
102178,7
107302,83
35423,59
1250777,82
266697,69
378194,69
1311071,56
95444,73
110265,14
24216,50
360717,88
320661,82
2802144,139
6017942,68
89424,59
67309,102
1013743,67
104627,74
8946378,53
478311,53
79417,56
85811,64
4302938,27
119485,115
441773,23
119488,93
3783958,57
1967545,128
10871176,60
4925292,70
139414,30
3841424,25
418819,60
1583420,56
805564,91
107362,57
6018306,45
479942,41
1197624,104
56172,13
3062976,45
113627,79
1327773,89
250494,62
89469,0
1038686,20
1707386,66
1228987,48
122151,113
93409,97
498380,87
892318,74
119528,59
95519,97
264796,70
5989218,59
454876,60
399281,102
123964,56
4786282,41
164085,60
1219289,126
443272,69
3741834,114
417907,32
404203,58
4919484,21
449059,54
97758,39
185431,65
91419,74
3281548,56
337978,29
113677,29
120735,52
2692904,19
74812,47
3315342,68
116905,73
1091191,79
318155,57
1276104,117
113690,36
399295,92
116922,34
89504,39
120738,57
335266,61
160484,92
411008,22
314331,114
199725,43
2419232,78
6304162,34
4682804,80
2872732,39
1106815,13
10095582,23
1470023,39
985694,81
1586752,109
31602,61
1371155,63
3471098,52
175880,115
97815,75
305793,74
104797,115
328099,51
113749,30
328107,115
125664,56
1186829,31
104804,37
4034228,95
73349,61
91474,89
466893,85
1615147,53
757361,37
390221,66
5175450,61
7653254,59
1441326,42
5028340,52
2328900,22
417952,0
66026,61
311113,4
416320,73
325805,95
3721954,26
110478,50
467197,37
67411,88
2582496,51
377092,100
70379,48
119643,44
81150,61
397535,73
100133,32
119654,44
17136,76
119664,104
430357,100
465538,113
5613484,47
64665,115
77928,3
1605783,40
